区域,小区名称,面积(㎡),户型,价格(元/月)
江岸,同鑫花园景福苑,124,3室2厅2卫,2800
江岸,同鑫花园景福苑,124,3室2厅2卫,3000
江岸,新地东方花都A区,156,3室2厅2卫,2800
江岸,凯信大厦,45,1室1厅1卫,1350
江岸,竹叶苑,183,4室2厅2卫,4800
江岸,石桥花园,28,1室0厅1卫,600
江岸,颐和丽晶,48,1室1厅1卫,2200
江岸,石桥花园,28,1室0厅1卫,1250
江岸,石桥花园,19,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,780
江岸,塔子湖锦绣家园幽兰苑,85,2室1厅1卫,2300
江岸,石桥花园,28,1室0厅1卫,800
江岸,石桥花园,28,1室0厅1卫,700
江岸,石桥花园,26,1室0厅1卫,700
江岸,石桥花园,20,1室0厅1卫,600
江岸,石桥花园,22,1室0厅1卫,680
江岸,石桥花园,28,1室0厅1卫,1250
江岸,石桥花园,28,1室0厅1卫,600
江岸,丹水嘉苑,90,3室1厅1卫,2400
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,19,1室0厅1卫,690
江岸,石桥花园,20,1室0厅1卫,690
江岸,汉口城市广场SOHO,45,1室1厅1卫,1400
江岸,凯信大厦,45,1室1厅1卫,1356
江岸,汇龙花园,55,1室1厅1卫,2300
江岸,凯信大厦,45,1室1厅1卫,1360
江岸,石桥花园,23,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,680
江岸,石桥花园,28,1室0厅1卫,600
江岸,澳门银座,59,2室1厅1卫,3560
江岸,澳门银座,40,1室0厅1卫,3800
江岸,石桥花园,28,1室0厅1卫,640
江岸,星悦城二期,18,1室0厅1卫,550
江岸,石桥花园,18,1室0厅1卫,630
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,19,1室0厅1卫,700
江岸,澳门银座,79,2室1厅1卫,3670
江岸,石桥花园,28,1室0厅1卫,680
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,26,1室0厅1卫,700
江岸,汉口城市广场SOHO,45,1室1厅1卫,1600
江岸,星悦城二期,18,1室0厅1卫,550
江岸,星悦城二期,18,1室0厅1卫,550
江岸,石桥花园,26,1室0厅1卫,700
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,26,1室0厅1卫,1000
江岸,石桥花园,25,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,19,1室0厅1卫,680
江岸,华美国际,53,1室0厅1卫,3450
江岸,石桥花园,28,1室0厅1卫,640
江岸,石桥花园,20,1室0厅1卫,650
江岸,石桥花园,28,1室0厅1卫,1250
江岸,石桥花园,28,1室0厅1卫,680
江岸,消防人家,18,1室0厅1卫,1600
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,1250
江岸,石桥花园,20,1室0厅1卫,600
江岸,石桥花园,26,1室0厅1卫,1000
江岸,石桥花园,20,1室0厅1卫,600
江岸,石桥花园,23,1室0厅1卫,600
江岸,石桥花园,25,1室0厅1卫,580
江岸,石桥花园,28,1室0厅1卫,680
江岸,石桥花园,20,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,650
江岸,君悦尚品,70,2室1厅1卫,4000
江岸,石桥花园,28,1室0厅1卫,650
江岸,石桥花园,28,1室0厅1卫,1250
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,28,1室0厅1卫,600
江岸,石桥花园,26,1室0厅1卫,700
江岸,石桥花园,28,1室0厅1卫,650
江岸,石桥花园,28,1室0厅1卫,650
江岸,石桥花园,28,1室0厅1卫,650
江岸,石桥花园,23,1室0厅1卫,580
江岸,百步亭金桥汇II期,88,3室2厅1卫,2400
江岸,石桥花园,19,1室0厅1卫,690
江岸,海赋江城天韵,119,3室2厅2卫,2000
江岸,石桥花园,19,1室0厅1卫,750
江岸,幸福时代四期,47,1室1厅1卫,1400
江岸,石桥花园,23,1室0厅1卫,750
江岸,联合社区,53,1室1厅1卫,1600
江岸,球场路163号,95,2室1厅1卫,2200
江岸,百步华庭,93,2室1厅1卫,2350
江岸,银泰御华园一期,44,2室1厅1卫,2100
江岸,长投景城汉口年华,38,2室0厅2卫,2300
江岸,石桥花园,18,1室0厅1卫,630
江岸,金涛翰林苑,77,2室1厅1卫,2400
江岸,石桥花园,21,1室0厅1卫,630
江岸,花惠社区,53,2室1厅1卫,2300
江岸,银泰御华园二期,49,2室1厅1卫,2500
江岸,东立国际,38,2室1厅1卫,2400
江岸,幸源雅城,66,2室1厅1卫,2300
江岸,星海蓝天,112,3室2厅1卫,2300
江岸,新大地花园,89,3室2厅1卫,2300
江岸,长江委后九小区,73,3室2厅1卫,2200
江岸,石桥花园,18,1室0厅1卫,650
江岸,花桥二村,83,3室1厅1卫,2400
江岸,石桥花园,18,1室0厅1卫,780
江岸,台北四村,120,3室1厅1卫,2300
江岸,石桥花园,19,1室0厅1卫,600
江岸,怡和苑北区,115,3室2厅2卫,2500
江岸,石桥花园,19,1室0厅1卫,720
江岸,石桥花园,22,1室0厅1卫,650
江岸,石桥花园,20,1室0厅1卫,700
江岸,怡和苑南区,141,3室2厅2卫,2800
江岸,石桥花园,19,1室0厅1卫,600
江岸,怡和苑北区,115,3室2厅2卫,3000
江岸,石桥花园,20,1室0厅1卫,600
江岸,青青美庐东区,44,1室1厅1卫,2400
江岸,石桥花园,19,1室0厅1卫,600
江岸,怡康苑南区,129,3室2厅2卫,2800
江岸,怡和苑南区,141,2室2厅2卫,3300
江岸,怡康苑北区,166,4室2厅3卫,3000
江岸,江汉大学教工宿舍,72,2室1厅1卫,2200
江岸,银泰御华园二期,73,3室1厅2卫,2600
江岸,石桥花园,23,1室0厅1卫,620
江岸,花桥黄浦社区,76,2室2厅1卫,2300
江岸,石桥花园,18,1室0厅1卫,630
江岸,惠济一路2号,67,2室1厅1卫,2200
江岸,怡康苑南区,125,3室2厅1卫,3300
江岸,银泰御华园二期,131,4室2厅3卫,5000
江岸,惠济路41号,66,2室1厅1卫,2200
江岸,宝岛社区,75,2室1厅1卫,2200
江岸,台北路175到177号,90,2室2厅1卫,2300
江岸,台北四村,45,2室1厅1卫,2200
江岸,石桥花园,19,1室0厅1卫,690
江岸,花桥一村,70,2室1厅1卫,2400
江岸,石桥花园,19,1室0厅1卫,750
江岸,永清路37号,73,2室1厅1卫,2300
江岸,石桥花园,23,1室0厅1卫,750
江岸,怡和苑北区,224,5室2厅2卫,9000
江岸,石桥花园,19,1室0厅1卫,600
江岸,石桥花园,19,1室0厅1卫,720
江岸,石桥花园,22,1室0厅1卫,650
江岸,怡和苑北区,119,3室2厅2卫,3800
江岸,石桥花园,20,1室0厅1卫,700
江岸,银泰御华园二期,123,3室2厅2卫,2800
江岸,石桥花园,22,1室0厅1卫,620
江岸,怡和苑北区,179,4室2厅3卫,3200
江岸,石桥花园,20,1室0厅1卫,620
江岸,怡和苑北区,115,3室2厅2卫,3200
江岸,云林街建银小区,62,2室1厅1卫,2300
江岸,江大路工科院小区,64,2室1厅1卫,2200
江岸,银泰御华园二期,73,3室1厅1卫,2800
江岸,银泰御华园二期,175,6室0厅4卫,6000
江岸,石桥花园,18,1室0厅1卫,630
江岸,长江委后九小区,73,3室2厅1卫,2200
江岸,石桥花园,19,1室0厅1卫,580
江岸,花桥一村,72,2室1厅1卫,2300
江岸,育才一村,69,2室1厅1卫,2300
江岸,花桥一村,72,2室1厅1卫,2300
江岸,澳门路,84,3室1厅1卫,2300
江岸,惠中社区,73,2室1厅1卫,2400
江岸,武汉市育才小学宿舍,56,2室1厅1卫,2300
江岸,惠一轻工苑小区,78,2室2厅1卫,2200
江岸,石桥花园,20,1室0厅1卫,650
江岸,省农资大院,60,2室1厅1卫,2300
江岸,石桥花园,23,1室0厅1卫,600
江岸,怡康苑北区,139,3室2厅2卫,3000
江岸,石桥花园,18,1室0厅1卫,550
江岸,永清路39号,72,2室1厅1卫,2300
江岸,石桥花园,19,1室0厅1卫,760
江岸,石桥花园,18,1室0厅1卫,630
江岸,石桥花园,23,1室0厅1卫,780
江岸,康怡花园,89,2室1厅1卫,2400
江岸,石桥花园,19,1室0厅1卫,600
江岸,幸福时代,53,1室0厅1卫,1600
江岸,石桥花园,19,1室0厅1卫,600
江岸,兰陵大公馆,47,1室1厅1卫,2200
江岸,石桥花园,19,1室0厅1卫,600
江岸,西马名仕,47,1室1厅1卫,2300
江岸,华庭公寓,33,1室1厅0卫,1600
江岸,东立国际,38,1室1厅1卫,1700
江岸,华庭公寓,37,1室0厅1卫,1600
江岸,长江委酒宝荡小区,50,1室1厅1卫,1500
江岸,石桥花园,19,1室0厅1卫,600
江岸,东立国际,38,1室1厅1卫,1900
江岸,石桥花园,18,1室0厅1卫,630
江岸,长投景城汉口年华,38,1室1厅1卫,1650
江岸,金融街壹号,40,1室0厅1卫,2000
江岸,金融街壹号,31,1室0厅1卫,1600
江岸,长投景城汉口年华,38,1室1厅1卫,1500
江岸,长投景城汉口年华,38,1室1厅1卫,1300
江岸,永清路31号,53,1室1厅1卫,1500
江岸,长投景城汉口年华,38,1室1厅1卫,1300
江岸,石桥花园,21,1室0厅1卫,630
江岸,花惠社区,36,1室1厅1卫,1300
江岸,石桥花园,18,1室0厅1卫,650
江岸,东立国际,38,1室1厅1卫,1700
江岸,石桥花园,18,1室0厅1卫,780
江岸,长投景城汉口年华,39,1室1厅1卫,1500
江岸,石桥花园,20,1室0厅1卫,590
江岸,石桥花园,22,1室0厅1卫,650
江岸,石桥花园,23,1室0厅1卫,760
江岸,凯信大厦,47,1室1厅1卫,1600
江岸,石桥花园,18,1室0厅1卫,650
江岸,晟蓝花园,93,2室2厅1卫,2200
江岸,福星惠誉红桥城,20,1室1厅1卫,1199
江岸,兰陵大公馆,45,1室1厅1卫,2300
江岸,美联公园前,28,1室1厅1卫,1275
江岸,统建大江园南苑,41,1室1厅1卫,1800
江岸,华庭公寓,42,1室0厅0卫,1800
江岸,华庭公寓,42,1室0厅0卫,1800
江岸,越秀星汇君泊三期,60,1室1厅1卫,2300
江岸,华中国际广场,36,1室1厅1卫,2200
江岸,福星惠誉红桥城,41,1室1厅1卫,1403
江岸,幸源雅城,46,1室0厅1卫,2100
江岸,石桥花园,28,1室0厅1卫,600
江岸,世纪皇冠,54,1室1厅1卫,2400
江岸,君悦尚品,67,1室1厅1卫,2700
江岸,兰陵大公馆,47,1室1厅1卫,2200
江岸,东立国际,42,1室1厅1卫,1900
江岸,百帝苑,51,1室1厅1卫,2500
江岸,兰陵大公馆,47,1室1厅1卫,2400
江岸,澳门银座,39,1室1厅1卫,1800
江岸,石桥花园,220,1室0厅1卫,1250
江岸,东立国际,42,1室1厅1卫,2000
江岸,福星惠誉红桥城,43,1室1厅1卫,1403
江岸,开源阳光城,37,1室0厅1卫,1900
江岸,天悦尚景,30,1室1厅1卫,1318
江岸,开源阳光城,38,1室0厅1卫,2000
江岸,中森华国际城,31,1室1厅1卫,1275
江岸,新荣苑,26,1室1厅1卫,1275
江岸,天悦尚景,28,1室1厅1卫,1099
江岸,东立国际,38,1室1厅1卫,1900
江岸,雅琪大厦,41,1室1厅1卫,1700
江岸,越秀星汇君泊,30,1室0厅1卫,2000
江岸,华中国际广场,37,1室1厅1卫,2200
江岸,新荣苑,37,1室1厅1卫,1275
江岸,天下国际公馆,39,1室1厅1卫,2400
江岸,汉飞青年城,35,1室1厅1卫,2000
江岸,西马名仕,45,1室1厅1卫,2400
江岸,东立国际,41,1室1厅1卫,2000
江岸,幸福时代,53,1室1厅1卫,1900
江岸,幸福时代,64,1室1厅1卫,2100
江岸,百步亭金桥汇II期,71,1室2厅1卫,1900
江岸,大智公寓,39,1室1厅1卫,2800
江岸,东立国际,41,1室1厅1卫,1900
江岸,石桥花园,21,1室0厅1卫,660
江岸,雅琪大厦,41,1室0厅1卫,1600
江岸,凯信大厦,46,1室1厅1卫,1600
江岸,东立国际,40,1室1厅1卫,1900
江岸,汉口城市广场三期,96,3室2厅1卫,2800
江岸,圆梦圆国际广场,64,1室1厅1卫,2000
江岸,东立国际,41,1室1厅1卫,1900
江岸,长青广场,40,1室1厅1卫,2300
江岸,石桥花园,23,1室0厅1卫,780
江岸,百步亭花园世博园,42,1室1厅1卫,2000
江岸,新荣苑,28,1室1厅1卫,1275
江岸,阳光城央座,42,1室0厅1卫,2600
江岸,长春街56号,52,1室1厅1卫,4700
江岸,华庭公寓,37,1室1厅1卫,1700
江岸,云湖大厦,38,1室1厅1卫,3780
江岸,格格屋,58,1室1厅1卫,3450
江岸,怡东大厦,46,1室1厅1卫,3200
江岸,凯信大厦,46,1室1厅1卫,1600
江岸,云湖大厦,38,1室1厅1卫,3780
江岸,东立国际,40,1室1厅1卫,1900
江岸,新长江国际,50,1室1厅1卫,4220
江岸,汉口城市广场三期,96,3室2厅1卫,2800
江岸,石桥花园,20,1室0厅1卫,760
江岸,圆梦圆国际广场,64,1室1厅1卫,2000
江岸,天下国际公馆,39,1室1厅1卫,2400
江岸,西马名仕,45,1室1厅1卫,2400
江岸,东立国际,41,1室1厅1卫,2000
江岸,汉口城市广场,97,3室2厅1卫,3800
江岸,塔子湖锦绣家园幽兰苑,85,3室1厅1卫,2400
江岸,东立国际,43,1室1厅1卫,1900
江岸,观湖铂金公寓,51,1室1厅1卫,2300
江岸,塔子湖锦绣家园幽兰苑,110,4室1厅2卫,3325
江岸,东立国际,41,1室1厅1卫,2100
江岸,塔子湖·锦绣家园雅菊苑,110,4室1厅1卫,3325
江岸,统建同安家园,95,2室2厅0卫,2600
江岸,塔子湖锦绣家园幽兰苑,110,4室1厅1卫,3200
江岸,东立国际,41,1室1厅1卫,1900
江岸,长投景城汉口年华,38,1室1厅1卫,1400
江岸,东立国际,42,1室1厅1卫,2100
江岸,格格屋,40,1室0厅1卫,2400
江岸,统建大江园南苑,41,1室0厅1卫,1800
江岸,金桥福景苑,80,2室1厅1卫,3780
江岸,百步亭金桥汇II期,60,1室1厅1卫,1850
江岸,塔子湖·锦绣家园雅菊苑,110,4室1厅1卫,3200
江岸,华美国际,53,1室0厅1卫,2000
江岸,东立国际,42,1室1厅1卫,2100
江岸,东立国际,47,1室1厅1卫,2000
江岸,东立国际,38,1室1厅1卫,2000
江岸,丹水嘉苑,70,1室1厅1卫,2200
江岸,汉口城市广场四期,91,2室2厅1卫,2800
江岸,天下国际公馆,39,1室1厅1卫,2300
江岸,新鸿基花园,93,3室2厅1卫,4000
江岸,东立国际,41,1室1厅1卫,1900
江岸,华庭公寓,37,1室1厅1卫,1700
江岸,尚都一品,85,2室2厅1卫,2800
江岸,长青广场,40,1室1厅1卫,2300
江岸,石桥花园,18,3室2厅2卫,600
江岸,百步亭金桥汇II期,60,1室1厅1卫,1800
江岸,石桥花园,23,4室0厅3卫,650
江岸,东立国际,41,1室1厅1卫,1900
江岸,东立国际,43,1室1厅1卫,1900
江岸,东立国际,41,1室1厅1卫,2000
江岸,开源阳光城,47,1室1厅1卫,2000
江岸,百步亭金桥汇II期,62,1室1厅1卫,2000
江岸,塔子湖锦绣家园幽兰苑,85,3室1厅1卫,2600
江岸,百步亭金桥汇,30,1室0厅0卫,1900
江岸,石桥花园,128,3室2厅3卫,600
江岸,澳门银座,41,1室0厅1卫,1700
江岸,统建大江园南苑,41,1室1厅1卫,2100
江岸,东立国际,38,1室0厅1卫,1800
江岸,长投景城汉口年华,38,1室1厅1卫,1450
江岸,同鑫花园,94,2室2厅1卫,2500
江岸,汉飞青年城,32,1室0厅1卫,2200
江岸,统建大江园南苑,41,1室1厅1卫,1500
江岸,新鸿基花园,93,2室1厅1卫,3890
江岸,颐和丽晶,51,1室1厅1卫,2700
江岸,锦江苑,104,3室1厅1卫,5100
江岸,东立国际,41,1室1厅1卫,2000
江岸,世纪皇冠,95,2室1厅1卫,4000
江岸,东立国际,38,1室0厅1卫,2000
江岸,越秀星汇君泊三期,91,2室1厅1卫,4000
江岸,新长江国际,93,2室2厅1卫,4000
江岸,塔子湖锦绣家园幽兰苑,80,3室1厅1卫,2500
江岸,汉飞青年城,32,1室0厅1卫,2200
江岸,熊家台商储宿舍,126,3室1厅1卫,1800
江岸,金融街壹号,33,1室0厅1卫,1700
江岸,香港路万科8号,70,2室1厅1卫,6000
江岸,东立国际,41,1室1厅1卫,2000
江岸,金源世界中心,85,2室1厅1卫,7500
江岸,长投景城汉口年华,38,1室1厅1卫,1450
江岸,同鑫花园,94,2室2厅1卫,2500
江岸,澳门银座,62,1室1厅1卫,1900
江岸,俊华雅苑,58,1室1厅1卫,2300
江岸,桃源大厦,53,1室1厅1卫,2200
江岸,华清园,115,3室1厅1卫,9000
江岸,航天双城,39,1室0厅1卫,2000
江岸,怡东大厦,55,2室1厅1卫,5500
江岸,长投景城汉口年华,38,1室1厅1卫,1750
江岸,亚安花园,45,1室1厅1卫,1700
江岸,吉祥谷,94,2室2厅1卫,1900
江岸,仁义社区,56,1室1厅1卫,2300
江岸,兰陵大公馆,47,1室1厅1卫,2200
江岸,世纪皇冠,50,1室1厅1卫,2400
江岸,阳春阁社区,60,1室1厅1卫,2200
江岸,鑫城俊杰,80,2室1厅1卫,4500
江岸,颐和丽晶,47,1室1厅1卫,2100
江岸,江汉北路建银小区,112,3室1厅1卫,5400
江岸,汉飞青年城,36,1室1厅1卫,2400
江岸,建华大厦,112,2室1厅1卫,4110
江岸,澳门银座,57,1室1厅1卫,2300
江岸,日月星城,135,3室1厅1卫,6970
江岸,声直大厦,87,2室1厅1卫,4550
江岸,中城国际,83,2室1厅1卫,4400
江岸,颐和丽晶,47,1室1厅1卫,2100
江岸,日月星城,135,3室1厅1卫,6970
江岸,东立国际,47,1室1厅1卫,2100
江岸,声直大厦,87,2室1厅1卫,4550
江岸,东立国际,42,1室1厅1卫,1900
江岸,中城国际,83,2室1厅1卫,4400
江岸,香港路万科8号,50,1室1厅1卫,2300
江岸,兰陵大公馆,51,1室1厅1卫,2400
江岸,桃源大厦,54,1室1厅1卫,2200
江岸,桃源大厦,34,1室1厅1卫,2200
江岸,三阳金城,42,1室1厅1卫,2400
江岸,时代豪苑,182,3室2厅2卫,10000
江岸,颐和丽晶,46,1室1厅1卫,2600
江岸,幸源雅城,31,1室1厅1卫,2200
江岸,统建同安家园,91,3室1厅1卫,2700
江岸,九运京汉名都,47,1室1厅1卫,2200
江岸,统建同安家园,91,2室1厅1卫,2600
江岸,华美国际,50,1室1厅1卫,2100
江岸,统建同安家园,92,2室1厅1卫,2600
江岸,观湖铂金公寓,53,1室1厅1卫,2300
江岸,百步龙庭,62,1室1厅1卫,2000
江岸,锋尚时代大厦,34,1室0厅1卫,2300
江岸,澳门银座,24,1室0厅1卫,1500
江岸,长投景城汉口年华,38,1室0厅0卫,800
江岸,汉口城市广场四期,91,2室2厅1卫,2800
江岸,东立国际,41,1室1厅1卫,1800
江岸,观湖铂金公寓,52,1室1厅1卫,2200
江岸,华庭公寓,38,1室0厅1卫,1800
江岸,天下国际公馆,52,1室1厅1卫,2400
江岸,东立国际,42,1室1厅1卫,1900
江岸,香港路综合大楼,75,1室1厅1卫,2800
江岸,越秀星汇君泊三期,35,1室1厅1卫,2200
江岸,统建同安家园,93,2室2厅1卫,2600
江岸,东立国际,42,1室1厅1卫,2000
江岸,东立国际,47,1室1厅1卫,1900
江岸,澳门银座,40,1室1厅1卫,1800
江岸,凯信大厦,48,1室1厅1卫,3800
江岸,百步亭金桥汇II期,44,1室1厅1卫,1800
江岸,兰陵大公馆,50,1室1厅1卫,2200
江岸,统建同安家园,93,2室1厅1卫,2800
江岸,统建同安家园,92,2室1厅1卫,2500
江岸,晋合金桥世家,96,2室2厅2卫,4200
江岸,澳门银座,47,1室0厅1卫,1850
江岸,民福金堡,41,1室0厅1卫,2400
江岸,城中坊,48,1室1厅1卫,2400
江岸,百步亭金桥汇II期,60,1室1厅1卫,2000
江岸,吉祥谷,91,2室2厅1卫,2500
江岸,华庭公寓,38,1室1厅1卫,1400
江岸,长投景城汉口年华,38,1室1厅1卫,1499
江岸,东立国际,41,1室1厅1卫,1600
江岸,大智公寓,50,1室1厅1卫,2200
江岸,澳门银座,40,1室1厅1卫,1800
江岸,凯信大厦,48,1室1厅1卫,3800
江岸,颐和丽晶,46,1室1厅1卫,2100
江岸,华庭公寓,38,1室0厅1卫,1300
江岸,越秀星汇君泊三期,35,1室1厅1卫,2200
江岸,统建同安家园,93,2室2厅1卫,2600
江岸,兰陵大公馆,50,1室1厅1卫,2200
江岸,统建同安家园,92,2室1厅1卫,2500
江岸,东立国际,38,1室0厅1卫,1900
江岸,君悦尚品,62,1室1厅1卫,4000
江岸,雅琪大厦,41,1室0厅1卫,1800
江岸,香榭大厦,77,1室1厅1卫,3000
江岸,长投景城汉口年华,40,1室1厅1卫,1200
江岸,东立国际,38,1室1厅1卫,1800
江岸,东立国际,74,1室1厅1卫,2800
江岸,东立国际,47,1室1厅1卫,2000
江岸,观湖铂金公寓,50,1室1厅1卫,2400
江岸,雅琪大厦,61,1室1厅1卫,1800
江岸,兰陵大公馆,46,1室1厅1卫,2400
江岸,花桥二村,64,1室1厅1卫,1200
江岸,台北四村,60,1室1厅1卫,1300
江岸,江大路22号,40,1室1厅1卫,1200
江岸,汉口城市广场,97,3室2厅1卫,2650
江岸,城开天梨阁,95,2室2厅1卫,2900
江岸,城开天梨阁,96,2室2厅1卫,2850
江岸,晋合金桥世家,102,3室1厅2卫,4200
江岸,统建同安家园,91,3室2厅1卫,3500
江岸,黄浦公馆,96,3室1厅1卫,3500
江岸,台北二村,44,1室1厅1卫,1000
江岸,育才二村,47,1室1厅1卫,1150
江岸,台北四村,47,1室1厅1卫,1200
江岸,江大路工科院小区,41,1室1厅1卫,1300
江岸,惠西小区,58,1室2厅1卫,2000
江岸,阳春阁社区,48,1室1厅1卫,2300
江岸,融玺公馆,36,1室0厅1卫,2100
江岸,育才三村,54,1室0厅1卫,1300
江岸,统建同安家园,92,2室2厅1卫,2000
江岸,惠济社区(江岸),30,1室1厅1卫,1350
江岸,台北四村,54,1室1厅1卫,1500
江岸,解放公园路解放社区,37,1室1厅1卫,1200
江岸,永清小区,52,1室2厅1卫,2200
江岸,育才二村,45,1室1厅1卫,1100
江岸,花桥二村,46,1室1厅1卫,1600
江岸,长航局江大路住宅小区,51,1室1厅1卫,1400
江岸,江大路工科院小区,44,1室1厅1卫,1400
江岸,光华社区,32,1室1厅1卫,1200
江岸,马祖路91号,47,1室1厅1卫,1450
江岸,惠济一路12号,49,1室1厅1卫,1800
江岸,解放公园路77号,47,1室1厅1卫,1600
江岸,长江委刘家庙小区,75,1室1厅1卫,1600
江岸,汉口城市广场五期,133,5室1厅2卫,3800
江岸,紫澄花园,135,3室2厅2卫,1500
江岸,汉口城市广场,44,2室1厅1卫,2000
江岸,汉口城市广场,44,2室1厅1卫,2000
江岸,统建同安家园,90,2室2厅1卫,3000
江岸,同鑫花园景福苑,132,3室2厅2卫,2600
江岸,汉口城市广场SOHO,45,2室2厅1卫,2800
江岸,晋合金桥世家,168,3室1厅2卫,7200
江岸,统建同安家园,124,3室2厅2卫,3200
江岸,同鑫花园,133,3室2厅2卫,3000
江岸,统建同安家园,129,3室2厅2卫,3200
江岸,幸福时代四期,47,2室2厅1卫,2800
江岸,统建同安家园,114,3室2厅2卫,3700
江岸,汉口城市广场,44,2室1厅1卫,3000
江岸,汉口城市广场SOHO,45,2室2厅2卫,3000
江岸,统建同安家园,139,3室2厅2卫,4200
江岸,汉口城市广场SOHO,45,2室1厅1卫,3200
江岸,统建同安家园,90,2室2厅1卫,2600
江岸,汉口城市广场,195,4室2厅2卫,7000
江岸,汉口城市广场SOHO,45,2室1厅1卫,2800
江岸,统建同安家园,131,3室1厅2卫,3500
江岸,吉祥谷,34,2室2厅1卫,1200
江岸,统建同安家园,114,3室2厅1卫,3000
江岸,汉口城市广场SOHO,44,2室1厅2卫,3000
江岸,统建同安家园,113,3室2厅1卫,3300
江岸,汉口城市广场SOHO,45,2室1厅2卫,2700
江岸,同鑫花园景福苑,123,3室2厅2卫,3500
江岸,金桥庭院,138,3室1厅2卫,2000
江岸,统建同安家园,124,3室2厅2卫,3300
江岸,同鑫花园景福苑,130,3室2厅2卫,2900
江岸,统建同安家园,85,2室1厅1卫,2600
江岸,盛景天地盛景国际,90,2室1厅1卫,2300
江岸,瑞云公馆,40,2室0厅2卫,2200
江岸,汉口城市广场,168,4室2厅2卫,4000
江岸,金桥庭院,123,3室2厅2卫,1500
江岸,建设大道742到748号,53,1室1厅1卫,1300
江岸,台北二村,40,1室1厅1卫,1600
江岸,解放公园路解放社区,27,1室0厅1卫,1600
江岸,模范路,40,1室1厅1卫,1200
江岸,育才二村,44,1室1厅1卫,1500
江岸,药械厂宿舍（新江岸三村）,94,2室2厅1卫,1900
江岸,碧桂园蜜柚,61,1室1厅1卫,3000
